region,country,country.code,rank.intercept,rank.slope,gini,cluster,number.kids,cluster.2
4502,United States,1,35.81900096,0.274399996,44.46699917,2,4355,2
4601,United States,1,33.63299951,0.331360012,39.43699896,4,2821,2
4602,United States,1,29.10699999,0.397920012,46.60699964,4,4229,2
4701,United States,1,24.10499913,0.458620012,53.93300056,4,3909,2
4702,United States,1,22.25699991,0.479589999,51.97700262,4,6240,2
4800,United States,1,21.8320004,0.471139997,52.54099965,4,7754,2
4901,United States,1,27.40599954,0.396690011,47.35000134,4,7572,2
4902,United States,1,25.2189987,0.451209992,41.74799919,4,3665,2
4903,United States,1,31.94800141,0.361849993,31.67099953,4,1627,2
5000,United States,1,27.21300307,0.421110004,45.70200145,4,8753,2
5100,United States,1,29.31700185,0.38925001,42.59800017,4,4473,2
5201,United States,1,28.63900185,0.426259995,38.92700076,4,2128,2
5202,United States,1,23.33499989,0.416489989,58.57499838,4,46897,2
5300,United States,1,24.28099823,0.4375,45.77299953,4,6390,2
5401,United States,1,31.48499951,0.354689986,45.43299973,4,5908,2
5402,United States,1,33.09099808,0.37123999,43.9440012,4,3250,2
5500,United States,1,31.83000255,0.304250002,38.13900054,4,6587,2
5600,United States,1,29.28200135,0.356810004,51.66800022,3,42917,2
5700,United States,1,29.81599692,0.374669999,42.31100082,4,4829,2
5800,United States,1,30.61999819,0.364089996,42.83199906,4,5373,2
5900,United States,1,30.64100307,0.341939986,38.27199936,4,8506,2
6000,United States,1,29.40299976,0.36263001,44.30100024,4,18969,2
6100,United States,1,31.96499786,0.368220001,44.06999946,4,11274,2
6200,United States,1,32.45000088,0.360689998,44.8029995,4,8496,2
6301,United States,1,30.21799785,0.365040004,42.55400002,4,3101,2
6302,United States,1,33.56099868,0.307399988,45.46400011,2,3328,2
6401,United States,1,28.90599924,0.361710012,50.15799999,4,17775,2
6402,United States,1,31.85499787,0.348479986,42.62599945,4,3331,2
6501,United States,1,33.7760011,0.276080012,40.25300145,2,1295,2
6502,United States,1,30.55200094,0.345099986,41.7750001,4,7045,2
6600,United States,1,28.49599901,0.357030004,49.05599952,4,14982,2
6700,United States,1,30.74599952,0.335460007,53.41799855,4,64012,2
