census.subdivision,census.division,province.name,province,CSD1986_ID,number.children,number.children.weighted,rank.slope,rank.slope.se,rank.intercept,rank.intercept.se,rank.rsquared,interquartile.income.range,parent.gini,share.between.p25p75,parent.mean.income,child.mean.income,parent.income.p25,child.income.p25,parent.median.income,child.median.income,parent.income.p75,child.income.p75,parent.income.p90,child.income.p90,parent.income.p99,child.income.p99,parent.percent.filing.french,child.percent.filing.french,parent.percent.notmarried,lim.intercept,lim.intercept.se,lim.slope,lim.slope.se,beta.intercept,beta.intercept.se,beta.slope,beta.slope.se
502,1,NL,10,1001502,249,370,0.131,0.052,41.3,2.63,0.017,25717,0.344,0.513,34304,57841,17715,27045,29054,42764,43432,59168,67374,81747,117115,201963,0,0.004,0.169,0.294,0.042,-0.001,0.001,9.6,0.499,0.096,0.049
505,1,NL,10,1001505,116,180,0.378,0.085,29.2,3.15,0.1,17379,0.319,0.467,24119,39263,15284,23593,20810,38090,32663,52314,42901,68174,64057,85980,0,0,0.198,0.439,0.059,-0.005,0.002,7.7,0.502,0.277,0.051
507,1,NL,10,1001507,23,34,0.63,0.146,20,9.15,0.366,34725,0.345,0.413,44788,56739,28537,30456,37646,47664,63263,76104,69538,116935,126833,169772,0,0,0.087,0.563,0.131,-0.007,0.002,6.2,1.295,0.433,0.124
509,1,NL,10,1001509,435,640,0.036,0.044,46.7,2.14,0.001,16969,0.284,0.647,32954,47030,22275,28296,29859,43808,39244,60106,56280,77708,102864,134579,0,0,0.216,0.19,0.032,0,0.001,10.9,0.422,-0.036,0.041
513,1,NL,10,1001513,122,167,0.338,0.085,29.6,4.3,0.086,22891,0.318,0.586,34799,47296,19469,24050,31423,37370,42361,60559,59457,83311,171317,252364,0,0.008,0.262,0.332,0.066,-0.002,0.001,8.6,0.777,0.19,0.076
514,1,NL,10,1001514,76,102,0.2,0.108,37.7,5.32,0.033,22498,0.392,0.547,34875,46995,16119,26047,29217,41913,38616,59884,61730,92669,160845,166395,0,0,0.197,0.356,0.074,-0.004,0.002,8,0.838,0.243,0.082
515,1,NL,10,1001515,660,844,0.163,0.038,41.1,1.86,0.022,20373,0.316,0.591,33534,48039,20053,28252,30290,42349,40426,60904,57812,78186,114909,173741,0.005,0.008,0.226,0.218,0.027,-0.001,0.001,9.4,0.341,0.119,0.033
519,1,NL,10,1001519,10394,12456,0.32,0.008,33.7,0.47,0.108,33349,0.425,0.465,41651,52928,19194,25997,34140,44015,52542,65875,78394,92336,200200,224159,0.001,0.003,0.246,0.35,0.007,-0.003,0,8.3,0.07,0.221,0.007
526,1,NL,10,1001526,406,474,0.202,0.051,45.6,3.28,0.032,27762,0.288,0.517,45428,64776,29747,33304,42469,53826,57509,79058,71650,102097,126990,271619,0,0,0.239,0.179,0.04,-0.001,0.001,8.3,0.576,0.234,0.055
537,1,NL,10,1001537,279,408,0.285,0.052,34.1,2.58,0.07,21760,0.356,0.512,34235,48986,18930,25137,30675,41327,40690,60522,61458,86918,132851,345024,0,0.004,0.29,0.381,0.04,-0.003,0.001,7.8,0.531,0.262,0.052
542,1,NL,10,1001542,2067,2382,0.212,0.023,40.9,1.28,0.035,21770,0.288,0.64,38431,52766,25852,29427,36212,46168,47622,66407,60412,90166,108041,191037,0,0.004,0.21,0.256,0.017,-0.002,0,9,0.202,0.161,0.019
545,1,NL,10,1001545,275,421,0.115,0.054,43,2.57,0.011,19498,0.265,0.654,31369,47492,21229,30192,30323,42582,40726,58647,51050,76570,65125,174165,0,0,0.225,0.183,0.04,0,0.001,10.6,0.463,-0.005,0.045
551,1,NL,10,1001551,111,171,0.382,0.129,32.7,4.47,0.05,12255,0.24,0.56,24320,45487,17905,22433,23461,38287,30160,58454,38690,88196,55885,169526,0,0,0.189,0.385,0.067,-0.005,0.002,8.6,0.803,0.188,0.08
557,1,NL,10,1001557,140,219,-0.003,0.087,46.9,3.87,0,13953,0.271,0.66,30332,46197,21249,27140,28207,42602,35202,57686,45752,80271,93435,189828,0,0,0.286,0.25,0.057,-0.001,0.001,10.4,0.821,0.007,0.081
559,1,NL,10,1001559,97,154,0.234,0.092,35.6,4.05,0.041,19709,0.302,0.587,28581,44053,19656,27023,26898,39719,39365,56913,47993,81030,75155,154975,0,0,0.309,0.292,0.064,-0.002,0.001,9.1,0.72,0.135,0.072
1,2,NL,10,1002001,44,64,0.011,0.15,47.5,8.13,0,20017,0.299,0.663,40484,48259,25657,25353,30152,37588,45674,62681,66681,74228,208217,145215,0,0,0.114,0.118,0.084,-0.001,0.002,11.5,1.597,-0.085,0.153
2,2,NL,10,1002002,91,131,0.158,0.124,41.3,5.66,0.013,16532,0.269,0.689,31758,48459,21705,26969,30157,39854,38237,62901,48738,92659,93326,155491,0,0,0.176,0.397,0.082,-0.004,0.002,10.7,0.985,-0.023,0.096
